,price,location,version,year,engine,km,owner_num,gear_type,color,origin_own,nxt_test,test_cost
438,"94,000 ₪",ראשון לציון,סוזוקי CROSSOVER CROSSOVER GLX,2020,1373 ליטר בנזין,"58,000",1,אוטומטי,כסף מטלי,ליסינג,1 חודשים,"1,811 ₪"
439,"110,000 ₪",עיספיא,מרצדס GLA קלאס GLA200 URBAN,2015,1595 ליטר בנזין,"129,000",4,אוטומטי,שנהב לבן,פרטית,0,"1,962 ₪"
440,"444,000 ₪",ראשון לציון,מרצדס GLC 300E 4MATIC AMG PLUS,2021,1991 ליטר חשמל/בנזין,"40,000",1,אוטומטי,שנהב לבן,פרטית,4 חודשים,"4,731 ₪"
441,"55,000 ₪",רמלה,טויוטה קורולה COROLLA SUN,2013,1598 ליטר בנזין,"165,000",2,אוטומטי,שחור מטלי,ליסינג,6 חודשים,"1,424 ₪"
442,"98,500 ₪",בת ים,קיה סורנטו SORENTO URBAN,2015,2359 ליטר בנזין,"115,000",2,אוטומטי,אפור,פרטית,6 חודשים,"1,693 ₪"
443,"49,990 ₪",נתניה,ניסאן קשקאי QASHQAI VISIA,2013,1997 ליטר בנזין,"92,000",2,אוטומטי,שחור מטלי,פרטית,1 חודשים,"1,693 ₪"
444,"89,000 ₪",ראשון לציון,סקודה אוקטביה OCTAVIA AMBITION,2019,999 ליטר בנזין,"116,000",2,אוטומטי,אפור מטל,ליסינג,2 חודשים,"1,604 ₪"
445,"165,000 ₪",עיספיא,יונדאי טוסון TUCSON PANORAMIC,2022,1598 ליטר בנזין,"50,000",2,אוטומטי,שנהב לבן,פרטית,0,"2,417 ₪"
446,"44,900 ₪",ראשון לציון,אופל קורסה CORSA ENJOY,2017,1398 ליטר בנזין,"42,000",1,אוטומטי,אפור מטל,פרטית,9 חודשים,"1,353 ₪"
447,"79,999 ₪",נתניה,מזדה 3 MAZDA 3 PREMIUM,2017,1998 ליטר בנזין,"80,000",2,אוטומטי,כסוף כהה,פרטית,0,"1,604 ₪"
448,"95,000 ₪",כפר סבא,סובארו פורסטר FORESTER 2.0 OSAKA,2018,1995 ליטר בנזין,"205,000",1,אוטומטי,אפור,פרטית,5 חודשים,"2,019 ₪"
449,"113,900 ₪",חדרה,טויוטה קורולה HSD SDN SUN,2020,1798 ליטר בנזין,"115,947",1,אוטומטי,תכלת מטאלי,ליסינג,3 חודשים,"1,811 ₪"
450,"73,900 ₪",רמת השרון,קיה פיקנטו PICANTO EX,2018,1248 ליטר בנזין,"42,413",1,אוטומטי,אדום,פרטית,1 חודשים,"1,102 ₪"
451,"68,000 ₪",חדרה,ניסאן קשקאי QASHQAI VISIA,2016,1197 ליטר בנזין,"125,000",1,אוטומטי,אפור מטל,פרטית,1 חודשים,"1,584 ₪"
452,"61,000 ₪",אבן יהודה,יונדאי I25 I25 INSPIRE,2017,1591 ליטר בנזין,"135,000",1,אוטומטי,אפור מטל,ליסינג,0,"1,353 ₪"
453,"98,000 ₪",נתניה,יונדאי טוסון TUCSON OPEN SKY,2016,1999 ליטר בנזין,"80,000",2,אוטומטי,שנהב לבן,פרטית,0,"2,019 ₪"
454,"63,900 ₪",חולון,ניסאן קשקאי QASHQAI ACENTA,2015,1197 ליטר בנזין,"112,000",1,אוטומטי,שנהב לבן,פרטית,2 חודשים,"1,584 ₪"
455,"74,900 ₪",חיפה,סקודה אוקטביה OCTAVIA STYLE,2016,1197 ליטר בנזין,"82,429",2,אוטומטי,קפה מטאלי,פרטית,3 חודשים,"1,424 ₪"
456,"83,900 ₪",חיפה,מזדה CX-5 CX-5 EXECUTIVE,2016,1998 ליטר בנזין,"132,690",3,אוטומטי,אפור מטאלי,פרטית,2 חודשים,"1,693 ₪"
457,"109,900 ₪",רמת השרון,מיצובישי אקליפס קרוס ECLIPSE CROSS INSTYLE,2018,1499 ליטר בנזין,"56,713",1,אוטומטי,אפור,פרטית,1 חודשים,"1,835 ₪"
458,"86,000 ₪",בת ים,יונדאי טוסון TUCSON PREMIUM,2016,1999 ליטר בנזין,"130,000",2,אוטומטי,כסף,פרטית,0,"1,835 ₪"
459,"94,900 ₪",רמת השרון,קיה נירו NIRO EX,2017,1580 ליטר בנזין,"119,303",1,אוטומטי,לבן,פרטית,0,"1,604 ₪"
460,"19,900 ₪",ראשון לציון,שברולט סוניק SONIC LS LS,2011,1398 ליטר בנזין,"153,000",3,אוטומטי,כסף תכלת מטלי,פרטית,0,"1,074 ₪"
461,"79,000 ₪",בת ים,קיה פיקנטו PICANTO LX,2021,1248 ליטר בנזין,"7,500",2,אוטומטי,שנהב לבן,ליסינג,3 חודשים,"1,235 ₪"
462,"109,900 ₪",נתניה,סיטרואן ברלינגו BERLINGO LIVE,2019,1499 ליטר דיזל,"45,000",1,אוטומטי,שנהב לבן,ליסינג,8 חודשים,"1,835 ₪"
463,"144,500 ₪",ראשון לציון,סקודה אוקטביה OCTAVIA AMBITION,2021,999 ליטר בנזין,"105,000",2,אוטומטי,שנהב לבן,פרטית,10 חודשים,"1,811 ₪"
464,"126,000 ₪",איכסאל,טויוטה C-HR HYBRID CLUB,2018,1798 ליטר בנזין,"60,000",1,אוטומטי,כסוף כהה מטלי,פרטית,5 חודשים,"1,604 ₪"
465,"87,900 ₪",פתח תקווה,יונדאי טוסון TUCSON PREMIUM,2016,1999 ליטר בנזין,"105,927",2,אוטומטי,כסף,פרטית,0,"1,835 ₪"
466,"113,000 ₪",נתניה,פיג'ו 3008 3008 ACTIVE,2019,1499 ליטר דיזל,"97,000",1,אוטומטי,חום,ליסינג,0,"1,835 ₪"
467,"96,900 ₪",רמת השרון,סוזוקי סוויפט SWIFT GLX HYBRID,2021,1197 ליטר בנזין,"47,000",1,אוטומטי,אדום מטל,פרטית,0,"1,529 ₪"
468,"99,900 ₪",רמת השרון,קיה נירו NIRO EX,2017,1580 ליטר בנזין,"94,540",1,אוטומטי,כחול,פרטית,5 חודשים,"1,604 ₪"
469,"103,000 ₪",רעננה,מזדה 2 MAZDA 2 PURE WHITE,2021,1496 ליטר בנזין,"12,440",1,אוטומטי,אפור,פרטית,13 חודשים,"1,529 ₪"
470,"110,500 ₪",תל אביב יפו,מזדה CX-5 CX-5 LUXURY,2017,1998 ליטר בנזין,"68,000",1,אוטומטי,כסף,פרטית,3 חודשים,"2,019 ₪"
471,"96,900 ₪",חיפה,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,"154,256",1,אוטומטי,שחור,ליסינג,1 חודשים,"1,604 ₪"
472,"108,900 ₪",אשדוד,סקודה אוקטביה OCTAVIA AMBITION,2020,1498 ליטר בנזין,"81,297",1,אוטומטי,לבן,ליסינג,11 חודשים,"1,604 ₪"
473,"59,900 ₪",נתניה,טויוטה RAV4 RAV-4 PREMIUM PLUS,2011,1987 ליטר בנזין,"228,000",3,אוטומטי,כחול פחם מטלי,פרטית,11 חודשים,"1,508 ₪"
474,"114,900 ₪",עפולה,טויוטה COROLLA PETROL STYLE,2020,1798 ליטר בנזין,"115,000",2,אוטומטי,שנהב לבן,ליסינג,0,"1,811 ₪"
475,"90,900 ₪",חיפה,קיה ספורטז' SPORTAGE URBAN,2016,1999 ליטר בנזין,"106,489",2,אוטומטי,לבן,פרטית,2 חודשים,"1,584 ₪"
476,"269,990 ₪",קרית שמונה,מרצדס C קלאס C300 AMG FL,2018,1991 ליטר בנזין,"85,000",4,אוטומטי,שנהב לבן,פרטית,8 חודשים,"3,357 ₪"
477,"87,000 ₪",ירכא,קיה פיקנטו PICANTO LX,2022,1197 ליטר בנזין,0,1,אוטומטי,שחור,פרטית,1 חודשים,"1,235 ₪"
478,"101,900 ₪",עפולה,פיג'ו 5008 5008 ACTIVE,2018,1598 ליטר בנזין,"143,000",1,אוטומטי,שנהב לבן,ליסינג,4 חודשים,"2,019 ₪"
479,"91,900 ₪",חיפה,קיה ספורטז' SPORTAGE EX,2016,1999 ליטר בנזין,"123,117",2,אוטומטי,לבן,פרטית,1 חודשים,"1,693 ₪"
480,"159,999 ₪",חיפה,פיג'ו 3008 3008 ACTIVE PACK,2022,1499 ליטר דיזל,"20,000",1,אוטומטי,שנהב לבן,פרטית,4 חודשים,"2,130 ₪"
481,"145,000 ₪",חיפה,שברולט טריילבליזר TRAIL BLAZER LTZ,2021,1341 ליטר בנזין,"29,000",1,אוטומטי,שחור מטלי,פרטית,2 חודשים,"2,130 ₪"
482,"87,900 ₪",רמת השרון,טויוטה קורולה SDN SUN,2019,1598 ליטר בנזין,"112,855",1,אוטומטי,כסף מטלי,ליסינג,1 חודשים,"1,604 ₪"
483,"79,000 ₪",ראשון לציון,קיה פיקנטו PICANTO GT LINE,2021,1248 ליטר בנזין,"29,105",1,אוטומטי,שחור,פרטית,0,"1,235 ₪"
484,"143,000 ₪",נתניה,סקודה קארוק KAROQ STYLE,2021,1498 ליטר בנזין,"28,000",1,אוטומטי,שנהב לבן,ליסינג,5 חודשים,"2,417 ₪"
485,"114,900 ₪",ראשון לציון,מיצובישי אאוטלנדר OUTLANDER ELITE,2017,1998 ליטר בנזין,"101,000",2,אוטומטי,שנהב לבן,ליסינג,0,"2,019 ₪"
486,"93,900 ₪",ראשון לציון,קיה ספורטז' SPORTAGE PREMIUM GT,2016,1591 ליטר בנזין,"80,000",2,אוטומטי,שחור,פרטית,6 חודשים,"1,693 ₪"
487,"119,000 ₪",נתניה,ניסאן קשקאי QASHQAI ACENTA-TECH,2019,1332 ליטר בנזין,"18,000",1,אוטומטי,אפור מטל,פרטית,0,"1,835 ₪"
488,"170,000 ₪",חיפה,סקודה קודיאק KODIAQ STYLE,2019,1984 ליטר בנזין,"100,000",2,אוטומטי,שחור,פרטית,3 חודשים,"2,563 ₪"
489,"115,900 ₪",ראשון לציון,ניסאן ליף LEAF ACENTA-TECH,2020,חשמלי,"36,000",2,אוטומטי,כסף מטלי,פרטית,5 חודשים,"2,417 ₪"
490,"119,900 ₪",ראשון לציון,מיצובישי ASX ASX PREMIUM,2020,1998 ליטר בנזין,"32,000",2,אוטומטי,שנהב לבן,פרטית,0,"2,130 ₪"
491,"107,000 ₪",ריינה,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,"129,000",1,אוטומטי,כסוף כהה מטלי,ליסינג,3 חודשים,"1,604 ₪"
492,"58,000 ₪",לוד,יונדאי I35 I35 INSPIRE,2015,1591 ליטר בנזין,"125,000",2,אוטומטי,כסף,פרטית,0,"1,424 ₪"
493,"50,900 ₪",ראשון לציון,טויוטה פריוס HYBRID GLI TT,2014,1798 ליטר בנזין,"200,000",2,אוטומטי,שנהב לבן,ליסינג,1 חודשים,"1,584 ₪"
494,"114,999 ₪",חיפה,קיה נירו NIRO LX,2019,1580 ליטר בנזין,"72,000",1,אוטומטי,אפור,פרטית,8 חודשים,"1,604 ₪"
495,"109,900 ₪",תל אביב יפו,פיג'ו 5008 5008 PREMIUM,2018,1560 ליטר דיזל,"122,000",2,אוטומטי,שנהב לבן,ליסינג,6 חודשים,"2,019 ₪"
496,"72,900 ₪",ראשון לציון,קיה פיקנטו PICANTO EX,2018,1248 ליטר בנזין,"51,445",2,אוטומטי,שנהב לבן,פרטית,1 חודשים,"1,102 ₪"
497,"129,900 ₪",רמת השרון,טויוטה קורולה HSD HB EXCITE PLUS,2020,1798 ליטר בנזין,"31,382",1,אוטומטי,שנהב לבן,פרטית,1 חודשים,"1,811 ₪"
498,"740,000 ₪",נוף הגליל,מרצדס GLE 400D COUPE AMG FLT,2023,2925 ליטר דיזל,0,1,אוטומטי,שחור,פרטית,11 חודשים,0
499,"65,900 ₪",פתח תקווה,אופל מוקה X ENJOY PLUS,2017,1364 ליטר בנזין,"58,000",1,אוטומטי,שחור מטלי,פרטית,8 חודשים,"1,604 ₪"
500,"19,900 ₪",ראשון לציון,פולקסווגן ג'טה JETTA TRENDLINE,2010,1390 ליטר בנזין,"210,000",3,אוטומטי,שחור מטלי,פרטית,4 חודשים,"1,369 ₪"
501,"64,900 ₪",כרמיאל,קיה סטוניק STONIC LX,2019,998 ליטר בנזין,"166,428",1,אוטומטי,כסוף,ליסינג,6 חודשים,"1,353 ₪"
502,"92,000 ₪",קרית שמונה,סקודה סופרב NEW SUPERB STYLE,2016,1798 ליטר בנזין,"140,000",3,אוטומטי,שנהב לבן,פרטית,10 חודשים,"1,693 ₪"
503,"107,900 ₪",חדרה,ניסאן קשקאי QASHQAI ACENTA,2019,1332 ליטר בנזין,"95,701",1,אוטומטי,שחור,ליסינג,6 חודשים,"1,835 ₪"
504,"91,900 ₪",פתח תקווה,יונדאי I20 I20 SUPREME,2020,998 ליטר בנזין,"60,000",1,אוטומטי,אדום מטל,פרטית,11 חודשים,"1,353 ₪"
505,"74,900 ₪",ראשון לציון,מזדה 3 MAZDA 3 SPORT,2017,1998 ליטר בנזין,"125,000",2,אוטומטי,שחור,פרטית,11 חודשים,"1,424 ₪"
506,"85,000 ₪",נתניה,ניסאן קשקאי QASHQAI VISIA,2017,1197 ליטר בנזין,"75,000",3,אוטומטי,שנהב לבן,פרטית,1 חודשים,"1,835 ₪"
507,"66,900 ₪",ראשון לציון,סובארו פורסטר FORESTER X,2013,1995 ליטר בנזין,"159,000",2,אוטומטי,אפור כהה,פרטית,2 חודשים,"1,693 ₪"
508,"107,000 ₪",קרית שמונה,סקודה אוקטביה OCTAVIA AMBITION,2019,1498 ליטר בנזין,"78,000",1,אוטומטי,אפור מטל,פרטית,8 חודשים,"1,604 ₪"
509,"103,000 ₪",איכסאל,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,"138,000",1,אוטומטי,כסף,פרטית,10 חודשים,"1,604 ₪"
510,"54,000 ₪",מאיפה שנוח לך בארץ,פיג'ו 208 208 ACCESS PLUS,2018,1199 ליטר בנזין,"94,114",1,אוטומטי,כחול,ליסינג,12 חודשים,"1,102 ₪"
511,"138,000 ₪",חיפה,יונדאי איוניק HYBRID SUPREME FL,2021,1580 ליטר בנזין,"27,000",1,אוטומטי,שחור מטלי,פרטית,4 חודשים,"1,811 ₪"
512,"290,903 ₪",נתניה,אאודי Q3 SPORTBACK PANO S LINE,2022,1498 ליטר בנזין,10,1,אוטומטי,שחור,פרטית,0,"3,366 ₪"
513,"14,500 ₪",נתניה,רנו פלואנס FLUENCE AU,2011,1598 ליטר בנזין,"130,000",2,אוטומטי,אפור כהה מטלי,פרטית,6 חודשים,"1,262 ₪"
514,"106,000 ₪",פתח תקווה,סיטרואן ברלינגו BERLINGO SHINE,2020,1499 ליטר דיזל,"115,000",1,אוטומטי,שנהב לבן,ליסינג,1 חודשים,"2,417 ₪"
515,"90,000 ₪",טמרה,מיצובישי אאוטלנדר OUTLANDER INSTYLE,2016,1998 ליטר בנזין,"221,000",2,אוטומטי,שנהב לבן,ליסינג,4 חודשים,0
516,"49,900 ₪",פתח תקווה,ניסאן מיקרה MICRA VISIA,2017,1198 ליטר בנזין,"93,025",1,אוטומטי,אדום מטל,פרטית,7 חודשים,"1,102 ₪"
517,"115,000 ₪",מאיפה שנוח לך בארץ,פורד קוגה KUGA TREND X,2020,1498 ליטר בנזין,"34,212",1,אוטומטי,כסוף,אחר,12 חודשים,"1,835 ₪"
518,"88,000 ₪",נתניה,קיה ספורטז' SPORTAGE URBAN,2017,1591 ליטר בנזין,"88,000",3,אוטומטי,שחור,ליסינג,2 חודשים,"1,604 ₪"
519,"69,000 ₪",כפר סבא,רנו מגאן MEGANE INTENSE,2019,1332 ליטר בנזין,"151,000",1,אוטומטי,לבן,ליסינג,0,"1,811 ₪"
520,"245,000 ₪",חיפה,טסלה MODEL 3 MODEL 3 PERFORMANCE,2021,חשמלי,"33,000",2,אוטומטי,שנהב לבן,פרטית,6 חודשים,"3,366 ₪"
521,"110,900 ₪",חיפה,קיה ספורטז' SPORTAGE URBAN,2018,1999 ליטר בנזין,"58,199",1,אוטומטי,שחור,פרטית,4 חודשים,"1,835 ₪"
522,"64,900 ₪",ראשון לציון,מיצובישי ספייס סטאר SPACE STAR SUPREME,2021,1193 ליטר בנזין,"12,600",2,אוטומטי,שנהב לבן,פרטית,2 חודשים,"1,235 ₪"
523,"72,000 ₪",לוד,טויוטה קורולה COROLLA SUN,2016,1598 ליטר בנזין,"118,000",2,אוטומטי,כסף מטלי,פרטית,3 חודשים,"1,424 ₪"
524,"99,000 ₪",חיפה,ב מ וו סדרה 3 318I S,2016,1499 ליטר בנזין,"60,000",2,אוטומטי,שחור,פרטית,0,"1,962 ₪"
525,"163,000 ₪",נתניה,פיג'ו 3008 3008 ACTIVE PACK,2022,1499 ליטר דיזל,"5,000",1,אוטומטי,שנהב לבן,פרטית,4 חודשים,"2,130 ₪"
526,"73,700 ₪",מאיפה שנוח לך בארץ,יונדאי I10 I10 PRIME,2019,1248 ליטר בנזין,"104,883",1,אוטומטי,לבן,ליסינג,2 חודשים,"1,102 ₪"
527,"183,000 ₪",איכסאל,בי ווי די ATTO 3 COMFORT,2023,חשמלי,1,1,אוטומטי,אפור כהה,פרטית,11 חודשים,"2,130 ₪"
528,"610,000 ₪",עפולה,ב מ וו X5 XDRIVE45E M-SPORT,2023,2998 ליטר חשמל/בנזין,0,1,אוטומטי,שנהב לבן,פרטית,10 חודשים,"4,731 ₪"
529,"119,900 ₪",רמת השרון,פיג'ו 3008 3008 PREMIUM,2019,1199 ליטר בנזין,"58,000",1,אוטומטי,אפור פלדה,פרטית,0,"2,019 ₪"
530,"79,000 ₪",רחובות,קיה פיקנטו PICANTO LX,2020,1248 ליטר בנזין,"38,000",1,אוטומטי,שנהב לבן,פרטית,11 חודשים,"1,102 ₪"
531,"87,500 ₪",נתניה,רנו גראנד קופה COUPE INTENSE,2018,1461 ליטר דיזל,"62,000",3,אוטומטי,שנהב לבן,פרטית,8 חודשים,"1,604 ₪"
532,"145,500 ₪",נתניה,סובארו פורסטר FORESTER 2.0XT TURBO,2017,1998 ליטר בנזין,"94,000",1,אוטומטי,שחור,פרטית,0,"2,563 ₪"
533,"380,000 ₪",חולון,ג'יפ רנגלר WRANGLER RUBICON,2022,1995 ליטר בנזין,"15,000",1,אוטומטי,אפור,ליסינג,11 חודשים,"4,731 ₪"
534,"210,000 ₪",הרצליה,טויוטה RAV4 HYBRID E-MOTION,2020,2487 ליטר בנזין,"47,900",1,אוטומטי,כסף מטלי,פרטית,9 חודשים,"3,366 ₪"
535,"59,000 ₪",עיספיא,קיה ספורטז' SPORTAGE LX,2014,1998 ליטר בנזין,"167,000",3,אוטומטי,כסף,ליסינג,0,"1,693 ₪"
536,"112,900 ₪",ראשון לציון,טויוטה C-HR HYBRID CITY,2018,1798 ליטר בנזין,"65,966",2,אוטומטי,כסוף כהה מטלי,פרטית,6 חודשים,"1,604 ₪"
537,"84,000 ₪",נוף הגליל,יונדאי I10 I10 SUPREME,2022,1197 ליטר בנזין,"1,200",1,אוטומטי,כסף מטלי,פרטית,4 חודשים,"1,235 ₪"
538,"90,900 ₪",פתח תקווה,יונדאי טוסון TUCSON PREMIUM,2016,1999 ליטר בנזין,"117,534",1,אוטומטי,כסף,פרטית,8 חודשים,"1,584 ₪"
539,"129,900 ₪",נתניה,מיצובישי אאוטלנדר OUTLANDER INTENSE,2019,1998 ליטר בנזין,"155,000",1,אוטומטי,כסף מטלי,ליסינג,6 חודשים,"2,019 ₪"
540,"75,000 ₪",שדרות,מזדה 3 MAZDA 3 SPORT,2017,1998 ליטר בנזין,"155,000",2,אוטומטי,אפור,ליסינג,0,"1,604 ₪"
541,"114,999 ₪",חיפה,פיג'ו 3008 3008 ACTIVE,2019,1499 ליטר דיזל,"43,700",1,אוטומטי,זהב,פרטית,0,"1,835 ₪"
542,"83,000 ₪",חיפה,טויוטה יאריס YARIS BLACKTOP,2018,1496 ליטר בנזין,"65,000",1,אוטומטי,כחול,פרטית,1 חודשים,"1,353 ₪"
543,"109,000 ₪",חיפה,מיצובישי אאוטלנדר OUTLANDER INTENSE,2016,1998 ליטר בנזין,"78,000",2,אוטומטי,שנהב לבן,פרטית,5 חודשים,"1,584 ₪"
544,"130,000 ₪",נתניה,סובארו פורסטר FORESTER X,2019,2498 ליטר בנזין,"159,000",1,אוטומטי,שנהב לבן,פרטית,1 חודשים,"2,019 ₪"
545,"555,000 ₪",נתניה,לנד רובר רינג' רובר ספורט RANGE R.SPORT PHEV HSE DYN,2020,1997 ליטר חשמל/בנזין,"67,000",1,אוטומטי,שנהב לבן,פרטית,11 חודשים,"3,357 ₪"
546,"129,900 ₪",רמת השרון,DS 3 CROSSBACK GRAND CHIC,2020,1199 ליטר בנזין,"27,844",1,אוטומטי,סגול כהה,פרטית,0,"2,417 ₪"
547,"74,900 ₪",ראשון לציון,פיג'ו 2008 2008 ACTIVE GO,2020,1199 ליטר בנזין,"61,284",1,אוטומטי,לבן,ליסינג,0,"1,811 ₪"
548,"119,500 ₪",תל אביב יפו,מיצובישי אאוטלנדר OUTLANDER PREMIUM,2017,1998 ליטר בנזין,"99,000",1,אוטומטי,שנהב לבן,פרטית,0,"2,019 ₪"
549,"105,000 ₪",בת ים,יונדאי טוסון TUCSON PRIME PLUS,2018,1999 ליטר בנזין,"60,000",2,אוטומטי,שנהב לבן,פרטית,6 חודשים,"1,835 ₪"
550,"109,900 ₪",רמת השרון,ב מ וו סדרה 1 118I SPORT,2018,1499 ליטר בנזין,"110,311",1,אוטומטי,שחור,פרטית,0,"2,019 ₪"
551,"200,000 ₪",קרית שמונה,פולקסווגן גולף GOLF R,2017,1984 ליטר בנזין,"60,000",3,אוטומטי,לבן,פרטית,1 חודשים,"3,357 ₪"
552,"147,000 ₪",נתניה,ניסאן קשקאי QASHQAI ACENTA TOP,2021,1461 ליטר דיזל,"39,000",2,אוטומטי,שחור מטלי,אחר,0,"2,130 ₪"
553,"145,500 ₪",נתניה,ב מ וו סדרה 5 520I S,2017,1997 ליטר בנזין,"144,155",2,אוטומטי,שחור,השכרה,11 חודשים,"2,397 ₪"
554,"82,900 ₪",ראשון לציון,סקודה אוקטביה OCTAVIA AMBITION,2019,999 ליטר בנזין,"131,775",1,אוטומטי,שנהב לבן,ליסינג,4 חודשים,"1,604 ₪"
555,"75,000 ₪",ירכא,קיה פיקנטו PICANTO LX,2019,1248 ליטר בנזין,"50,000",1,אוטומטי,שנהב לבן,ליסינג,0,"1,102 ₪"
556,"98,900 ₪",חיפה,קיה סטוניק STONIC URBAN,2020,1368 ליטר בנזין,"41,635",1,אוטומטי,אפור,פרטית,1 חודשים,"1,529 ₪"
557,"112,900 ₪",ראשון לציון,מזדה 3 MAZDA 3 SPIRIT,2020,1998 ליטר בנזין,"65,000",2,אוטומטי,שחור,פרטית,12 חודשים,"1,835 ₪"
558,"90,000 ₪",נתניה,יונדאי טוסון TUCSON PRIME,2017,1591 ליטר בנזין,"52,000",2,אוטומטי,אפור,פרטית,0,"1,604 ₪"
559,"180,000 ₪",מאיפה שנוח לך בארץ,איסוזו D-Max PICK-UP S,2019,1898 ליטר דיזל,"30,780",1,אוטומטי,לבן,אחר,3 חודשים,"2,563 ₪"
560,"70,000 ₪",כרמיאל,יונדאי I10 I10 PRIME,2019,1248 ליטר בנזין,"42,000",1,אוטומטי,שנהב לבן,ליסינג,7 חודשים,"1,102 ₪"
561,"50,000 ₪",חיפה,דאציה דאסטר DUSTER LAUREATE,2018,1197 ליטר בנזין,"150,000",1,ידני,שנהב לבן,פרטית,8 חודשים,"1,102 ₪"
562,"730,000 ₪",נוף הגליל,ב מ וו X6 XDRIVE 30D M-SUPERIOR,2023,2993 ליטר דיזל,0,1,אוטומטי,שנהב לבן,פרטית,10 חודשים,"4,731 ₪"
563,"138,900 ₪",ראשון לציון,קיה ספורטז' SPORTAGE PREMIUM,2020,1591 ליטר בנזין,"20,000",2,אוטומטי,שחור,פרטית,8 חודשים,"2,417 ₪"
564,"120,000 ₪",ירכא,סוזוקי ויטארה VITARA GLX,2020,998 ליטר בנזין,"20,000",1,אוטומטי,אפור,פרטית,0,"1,811 ₪"
565,"119,900 ₪",אשדוד,קיה ספורטז' SPORTAGE URBAN,2020,1999 ליטר בנזין,"83,111",1,אוטומטי,כסוף,ליסינג,10 חודשים,"2,130 ₪"
566,"163,000 ₪",ראשון לציון,סקודה קודיאק KODIAQ BUSINESS,2020,1498 ליטר בנזין,"71,000",2,אוטומטי,שחור מטלי,אחר,1 חודשים,"2,417 ₪"
567,"125,000 ₪",רעננה,סקודה קארוק KAROQ AMBITION,2020,1498 ליטר בנזין,"48,000",1,אוטומטי,כסף מטלי,ליסינג,8 חודשים,"2,130 ₪"
568,"48,900 ₪",ראשון לציון,פיג'ו 2008 2008 ACTIVE,2016,1598 ליטר בנזין,"45,000",2,אוטומטי,שנהב לבן,פרטית,1 חודשים,"1,424 ₪"
569,"2,094,000 ₪",הרצליה,בנטלי Flying Spur FLYING SPUR MULLINER,2022,5950 ליטר בנזין,"11,000",1,אוטומטי,אפור מטל,פרטית,0,"4,731 ₪"
570,"34,900 ₪",ראשון לציון,יונדאי I10 I10 INSIGHT,2014,998 ליטר בנזין,"119,000",3,אוטומטי,שנהב לבן,ליסינג,3 חודשים,985 ₪
571,"54,900 ₪",עפולה,סקודה אוקטביה OCTAVIA AMBITION,2016,1197 ליטר בנזין,"129,000",2,אוטומטי,קפה מטאלי,פרטית,2 חודשים,"1,424 ₪"
572,"97,000 ₪",בת ים,אופל קרוסלנד-X X INNOVATION,2021,1199 ליטר בנזין,"10,000",1,אוטומטי,כתום,פרטית,0,"1,811 ₪"
573,"93,500 ₪",עפולה,קיה ספורטז' SPORTAGE URBAN,2016,1999 ליטר בנזין,"103,000",5,אוטומטי,שחור,ליסינג,8 חודשים,"1,584 ₪"
574,"113,300 ₪",מאיפה שנוח לך בארץ,קיה ספורטז' SPORTAGE URBAN,2019,1598 ליטר דיזל,"95,949",1,אוטומטי,אפור,אחר,6 חודשים,"1,835 ₪"
575,"42,000 ₪",חיפה,קיה ריו RIO LX,2016,1396 ליטר בנזין,"159,000",3,אוטומטי,אפור כהה,ליסינג,3 חודשים,"1,205 ₪"
576,"94,160 ₪",רעננה,קיה ספורטז' SPORTAGE URBAN,2016,1999 ליטר בנזין,"70,000",2,אוטומטי,כסף,פרטית,5 חודשים,"1,584 ₪"
577,"43,500 ₪",חדרה,סקודה אוקטביה OCTAVIA AMBITION,2014,1197 ליטר בנזין,"220,000",3,אוטומטי,שנהב לבן,פרטית,4 חודשים,"1,424 ₪"
578,"337,000 ₪",מע'אר,ג'יפ רנגלר WRANGLER 2D SPORT S,2023,1995 ליטר בנזין,0,1,אוטומטי,שחור,פרטית,11 חודשים,"4,731 ₪"
579,"133,000 ₪",חיפה,יונדאי טוסון TUCSON PANORAMIC,2020,1999 ליטר בנזין,"42,000",1,אוטומטי,שנהב לבן,ליסינג,0,"2,417 ₪"
580,"474,900 ₪",נתניה,מרצדס E קלאס E300 E AMG LINE,2022,1991 ליטר חשמל/בנזין,"9,868",1,אוטומטי,שחור פנינה,פרטית,1 חודשים,"4,731 ₪"
581,"133,900 ₪",חיפה,קיה ספורטז' SPORTAGE PREMIUM,2020,1591 ליטר בנזין,"34,181",1,אוטומטי,כסוף כהה,פרטית,11 חודשים,"2,019 ₪"
582,"40,900 ₪",חיפה,אופל מוקה MOKKA ENJOY,2015,1364 ליטר בנזין,"198,000",1,אוטומטי,כתום,פרטית,1 חודשים,"1,584 ₪"
583,"105,900 ₪",חדרה,ניסאן קשקאי QASHQAI ACENTA,2019,1332 ליטר בנזין,"115,076",1,אוטומטי,לבן,ליסינג,6 חודשים,"1,835 ₪"
584,"166,900 ₪",נתניה,פיג'ו 3008 3008 GT,2019,1997 ליטר דיזל,"83,000",2,אוטומטי,שנהב לבן,פרטית,3 חודשים,"2,563 ₪"
