,price,city,version,year,engine,km,owner_num,gear_type,color,origin_own,nxt_test,test_cost
286,"104,900 ₪",ראשון לציון,מזדה 3 MAZDA3 SPIRIT,2006,1999 ליטר בנזין,"165,000",3,אוטומטי,שחור,פרטית,9 חודשים,"1,262 ₪"
287,"47,900 ₪",איכסאל,איסוזו D-Max PICK-UP S,2013,2499 ליטר דיזל,"175,000",1,ידני,שנהב לבן,פרטית,9 חודשים,"1,693 ₪"
288,"18,900 ₪",רמת גן,יונדאי I30 I30 SUPREME,2010,1591 ליטר בנזין,"190,000",2,אוטומטי,כחול מטל,פרטית,3 חודשים,"1,262 ₪"
289,"89,900 ₪",עפולה,יונדאי I10 I10 PRIME,2020,1197 ליטר בנזין,"40,000",1,אוטומטי,שנהב לבן,ליסינג,7 חודשים,"1,235 ₪"
290,"19,900 ₪",רעננה,מזדה CX-5 CX-5 EXECUTIVE,2017,1998 ליטר בנזין,"98,000",1,אוטומטי,אפור,פרטית,11 חודשים,0
291,"75,000 ₪",ירכא,טויוטה קורולה SDN SUN,2020,1598 ליטר בנזין,"56,527",1,אוטומטי,לבן,ליסינג,11 חודשים,"1,604 ₪"
292,"101,000 ₪",רעננה,מיצובישי ASX ASX INSTYLE,2019,1998 ליטר בנזין,"89,047",1,אוטומטי,לבן,ליסינג,7 חודשים,"1,604 ₪"
293,"108,900 ₪",אשדוד,ג'יפ גראנד צ'ירוקי L LIMITED,2022,3604 ליטר בנזין,0,1,אוטומטי,שחור,ליסינג,0,"4,731 ₪"
294,"98,900 ₪",חדרה,סקודה אוקטביה OCTAVIA AMBITION,2019,1498 ליטר בנזין,"99,000",1,אוטומטי,שנהב לבן,פרטית,0,0
295,"407,303 ₪",נתניה,סיטרואן C4 פיקאסו C4 PICASSO EXCLUSIVE,2014,1598 ליטר בנזין,"187,000",2,אוטומטי,אפור כהה,ליסינג,8 חודשים,"1,693 ₪"
296,"99,000 ₪",נתניה,מזדה 6 MAZDA 6 BLACK EDITIO,2022,2488 ליטר בנזין,"10,000",2,אוטומטי,שחור,פרטית,5 חודשים,"2,417 ₪"
297,"32,900 ₪",עפולה,שברולט טריילבליזר TRAIL BLAZER LT PLUS,2023,1341 ליטר בנזין,0,1,אוטומטי,שחור מטאלי,ליסינג,11 חודשים,0
298,"179,000 ₪",רמלה,מרצדס C קלאס C300 HARMONY FLT,2020,1991 ליטר חשמל/בנזין,"33,000",3,אוטומטי,לבן,פרטית,0,"4,731 ₪"
299,"163,930 ₪",נתניה,סיאט ארונה ARONA FR,2021,999 ליטר בנזין,"11,100",1,אוטומטי,שנהב לבן,פרטית,5 חודשים,"1,811 ₪"
300,"264,900 ₪",עפולה,סובארו XV XV CROSSTREK SE,2019,1995 ליטר בנזין,"114,223",1,אוטומטי,אפור כהה,פרטית,3 חודשים,"1,835 ₪"
301,"113,500 ₪",עפולה,קיה נירו NIRO LX,2019,1580 ליטר בנזין,"64,473",1,אוטומטי,כסוף,ליסינג,8 חודשים,"1,604 ₪"
302,"110,900 ₪",רמת השרון,סיטרואן C1 C1 LIVE,2017,998 ליטר בנזין,"100,000",1,ידני,אפור כהה,פרטית,0,"1,102 ₪"
303,"120,900 ₪",אשדוד,מזדה CX-5 CX-5 EXECUTIVE,2020,1998 ליטר בנזין,"19,500",1,אוטומטי,כסף,פרטית,0,"2,417 ₪"
304,"26,900 ₪",נתניה,קיה ספורטז' SPORTAGE URBAN,2016,1591 ליטר בנזין,"183,000",1,אוטומטי,שחור,ליסינג,0,"1,424 ₪"
305,"154,900 ₪",חיפה,מיצובישי אאוטלנדר OUTLANDER INSTYLE,2013,1998 ליטר בנזין,"165,000",2,אוטומטי,שנהב לבן,ליסינג,2 חודשים,"1,693 ₪"
306,"70,000 ₪",ירכא,יונדאי טוסון TUCSON OPEN SKY,2017,1999 ליטר בנזין,"97,000",1,אוטומטי,שנהב לבן,פרטית,7 חודשים,"2,019 ₪"
307,"59,990 ₪",נתניה,רנו קליאו CLIO ZEN,2021,999 ליטר בנזין,"11,089",1,אוטומטי,שחור מטלי,ליסינג,0,"1,529 ₪"
308,"120,000 ₪",קרית שמונה,סיטרואן C3 C3 SHINE PK,2017,1199 ליטר בנזין,"129,000",1,אוטומטי,שחור,פרטית,3 חודשים,"1,102 ₪"
309,"79,900 ₪",ראשון לציון,טויוטה קורולה קרוס COROLLA CROSS ADVENTURE,2023,1798 ליטר בנזין,0,1,אוטומטי,שחור מטלי,פרטית,11 חודשים,"2,417 ₪"
310,"52,900 ₪",ראשון לציון,סקודה פאביה FABIA ACTIVE,2015,1197 ליטר בנזין,"233,000",1,אוטומטי,שנהב לבן,פרטית,6 חודשים,985 ₪
311,"209,900 ₪",ראשון לציון,סיאט לאון LEON FR,2013,1798 ליטר בנזין,"140,000",9,אוטומטי,שן פיל,פרטית,0,"1,584 ₪"
312,"32,900 ₪",ראשון לציון,מזדה CX-30 CX-30 PREMIUM,2020,1998 ליטר בנזין,"28,000",1,אוטומטי,כחול,פרטית,0,"2,417 ₪"
313,"78,000 ₪",נתניה,סקודה קארוק KAROQ STYLE,2020,1498 ליטר בנזין,"66,000",1,אוטומטי,שחור מטלי,פרטית,4 חודשים,"2,417 ₪"
314,"141,900 ₪",רמת השרון,ניסאן קשקאי QASHQAI TEKNA,2019,1332 ליטר בנזין,"39,000",1,אוטומטי,שנהב לבן,פרטית,2 חודשים,"1,835 ₪"
315,"139,900 ₪",עפולה,מזדה 3 MAZDA 3 SPORT,2019,1998 ליטר בנזין,"110,000",2,אוטומטי,שנהב לבן,ליסינג,1 חודשים,"1,604 ₪"
316,"128,500 ₪",תל אביב יפו,ב מ וו X5 XDRIVE 40E EXCLUSIVE,2017,1997 ליטר חשמל/בנזין,"80,000",2,אוטומטי,שנהב לבן,פרטית,9 חודשים,"3,357 ₪"
317,"93,900 ₪",ראשון לציון,קיה פיקנטו PICANTO LX,2019,1248 ליטר בנזין,"105,000",1,אוטומטי,כסוף כהה,ליסינג,2 חודשים,"1,102 ₪"
318,"277,900 ₪",ראשון לציון,סיאט איביזה IBIZA STYLE,2017,999 ליטר בנזין,"107,000",2,אוטומטי,אפור מטל,ליסינג,0,"1,102 ₪"
319,"65,000 ₪",איכסאל,קיה פיקנטו PICANTO LX,2015,1248 ליטר בנזין,"103,000",1,אוטומטי,שנהב לבן,ליסינג,3 חודשים,985 ₪
320,"55,000 ₪",ראשון לציון,הונדה סיוויק CIVIC COMFORT,2015,1798 ליטר בנזין,"50,000",2,אוטומטי,שחור מטלי,פרטית,5 חודשים,"1,424 ₪"
321,"42,000 ₪",נתניה,סקודה קארוק KAROQ AMBITION,2018,999 ליטר בנזין,"68,739",1,אוטומטי,שחור,פרטית,4 חודשים,"1,604 ₪"
322,"61,900 ₪",ראשון לציון,קיה אופטימה OPTIMA HEV PREMIUM,2017,1999 ליטר בנזין,"160,000",1,אוטומטי,כסף,ליסינג,0,"2,019 ₪"
323,"107,900 ₪",רמת השרון,אאודי E-tron ETRON ADV PREMIUM,2020,חשמלי,"37,000",2,אוטומטי,אפור מטל,פרטית,0,"4,731 ₪"
324,"108,000 ₪",עיספיא,סיאט אטקה ATECA STYLE,2020,1498 ליטר בנזין,"60,280",1,אוטומטי,שנהב לבן,פרטית,11 חודשים,"1,604 ₪"
325,"369,000 ₪",ראשון לציון,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,"40,000",2,אוטומטי,כסוף כהה מטלי,ליסינג,8 חודשים,"1,604 ₪"
326,"127,900 ₪",חיפה,הונדה HR-V HR-V COMFORT,2017,1498 ליטר בנזין,"118,515",1,אוטומטי,אפור בהיר מטלי,פרטית,9 חודשים,0
327,"118,000 ₪",עפולה,שברולט מאליבו MALIBU LT LT,2017,1490 ליטר בנזין,"66,000",3,אוטומטי,כסף מטלי,ליסינג,9 חודשים,"2,019 ₪"
328,"78,900 ₪",פתח תקווה,קיה ספורטז' SPORTAGE TURBO TOP,2021,1591 ליטר בנזין,"43,079",1,אוטומטי,שחור,פרטית,11 חודשים,"2,130 ₪"
329,"63,900 ₪",עפולה,יונדאי I20 I20 PRIME,2019,998 ליטר בנזין,"92,414",2,אוטומטי,שנהב לבן,פרטית,6 חודשים,"1,102 ₪"
330,"135,900 ₪",חיפה,מיצובישי אאוטלנדר OUTLANDER INSTYLE,2019,1998 ליטר בנזין,"84,743",1,אוטומטי,אפור,ליסינג,8 חודשים,"2,019 ₪"
331,"78,900 ₪",פתח תקווה,איסוזו D-Max D-MAX LS PREMIUM,2021,1898 ליטר דיזל,"43,000",2,אוטומטי,שנהב לבן,פרטית,11 חודשים,"3,366 ₪"
332,"136,900 ₪",חדרה,טויוטה C-HR HYBRID CHIC,2017,1798 ליטר בנזין,"62,000",1,אוטומטי,כסוף כהה מטלי,פרטית,3 חודשים,"1,835 ₪"
333,"225,000 ₪",חיפה,ניסאן קשקאי QASHQAI ACENTA,2012,1997 ליטר בנזין,"189,000",2,אוטומטי,כסף מטלי,פרטית,2 חודשים,"1,427 ₪"
334,"116,000 ₪",חיפה,רנו פלואנס FLUENCE AMBIANCE,2014,1461 ליטר דיזל,"190,000",3,אוטומטי,אפור כהה מטלי,ליסינג,0,"1,424 ₪"
335,"41,000 ₪",כפר סבא,ניסאן ג'וק JUKE TEKNA UNIQUE,2017,1598 ליטר בנזין,"5,101",1,אוטומטי,שנהב לבן,פרטית,0,0
336,"27,900 ₪",חיפה,סיטרואן ברלינגו BERLINGO COMFORT,2016,1560 ליטר דיזל,"155,000",4,ידני,שנהב לבן,פרטית,4 חודשים,"1,424 ₪"
337,"78,900 ₪",פתח תקווה,קיה פיקנטו PICANTO EX,2020,1248 ליטר בנזין,"26,630",1,אוטומטי,כסוף כהה,פרטית,11 חודשים,"1,102 ₪"
338,"45,000 ₪",ראשון לציון,קיה נירו NIRO LX,2019,1580 ליטר בנזין,"64,935",1,אוטומטי,אפור,ליסינג,8 חודשים,"1,604 ₪"
339,"83,900 ₪",רמת השרון,קיה סטוניק STONIC PREMIUM,2020,998 ליטר בנזין,"46,566",1,אוטומטי,צהוב,פרטית,5 חודשים,"1,811 ₪"
340,"120,900 ₪",אשדוד,אאודי E-tron ETRON ADV PREMIUM,2020,חשמלי,"48,000",1,אוטומטי,אפור מטל,פרטית,0,"4,731 ₪"
341,"104,900 ₪",פתח תקווה,פיג'ו 3008 3008 ACTIVE,2020,1499 ליטר דיזל,"54,189",1,אוטומטי,שנהב לבן,פרטית,0,"2,130 ₪"
342,"394,900 ₪",חיפה,יונדאי I10 I10 PREMIUM,2015,998 ליטר בנזין,"160,296",2,אוטומטי,שחור,ליסינג,0,985 ₪
343,"135,900 ₪",חיפה,ב מ וו X1 SDRIVE 18I BUSINESS,2021,1499 ליטר בנזין,"9,000",1,אוטומטי,שנהב לבן,פרטית,1 חודשים,"3,366 ₪"
344,"39,990 ₪",חיפה,מרצדס AMG C43 4MATIC 23P,2017,2996 ליטר בנזין,"46,000",1,אוטומטי,אפור,פרטית,6 חודשים,"3,357 ₪"
345,"199,900 ₪",נתניה,סקודה סופרב SUPERB FL AMBITION,2020,1984 ליטר בנזין,"55,000",1,אוטומטי,כסף מטלי,פרטית,0,"2,417 ₪"
346,"289,000 ₪",בת ים,לנד רובר רינג' רובר ספורט RANGE R.SPORT PHEV HSE DYN,2019,1997 ליטר חשמל/בנזין,"25,000",2,אוטומטי,שנהב לבן,פרטית,3 חודשים,"3,357 ₪"
347,"159,000 ₪",נתניה,מזדה CX-5 CX-5 EXECUTIVE,2017,2488 ליטר בנזין,"178,000",1,אוטומטי,לבן,אחר,0,"2,019 ₪"
348,"280,000 ₪",נוף הגליל,מרצדס CLA קלאס CLA180 STYLE FLT,2021,1332 ליטר בנזין,"30,000",2,אוטומטי,שנהב לבן,פרטית,0,"3,366 ₪"
349,"95,990 ₪",עפולה,אאודי Q5 Q5 EXECUTIVE,2016,1968 ליטר דיזל,"160,000",3,אוטומטי,כסף מטלי,פרטית,0,"3,357 ₪"
350,"215,000 ₪",בת ים,טויוטה יאריס YARIS STYLE,2019,1496 ליטר בנזין,"12,000",1,אוטומטי,אפור כהה מטלי,פרטית,0,"1,529 ₪"
351,"105,000 ₪",עפולה,סקודה אוקטביה OCTAVIA AMBITION,2019,999 ליטר בנזין,"130,732",1,אוטומטי,כסף מטלי,ליסינג,3 חודשים,"1,604 ₪"
352,"87,000 ₪",נתניה,פולקסווגן פולו POLO COMFORTLINE,2013,1197 ליטר בנזין,"230,000",2,אוטומטי,שנהב לבן,פרטית,11 חודשים,"1,074 ₪"
353,"84,900 ₪",פתח תקווה,סקודה קודיאק KODIAQ STYLE,2019,1984 ליטר בנזין,"74,790",1,אוטומטי,אפור,אחר,3 חודשים,"2,563 ₪"
354,"29,770 ₪",כפר סבא,קיה ספורטז' SPORTAGE URBAN,2017,1591 ליטר בנזין,"100,000",5,אוטומטי,שנהב לבן,פרטית,7 חודשים,"1,604 ₪"
355,"206,400 ₪",מאיפה שנוח לך בארץ,יונדאי אלנטרה ELANTRA GL,2016,1591 ליטר בנזין,"200,000",2,אוטומטי,כסוף כהה,ליסינג,3 חודשים,"1,424 ₪"
356,"87,000 ₪",חיפה,טויוטה C-HR HYBRID CITY,2019,1798 ליטר בנזין,"78,000",2,אוטומטי,כסוף כהה מטלי,ליסינג,1 חודשים,"1,604 ₪"
357,"60,000 ₪",עראבה,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,"108,000",2,אוטומטי,כסוף כהה מטלי,ליסינג,5 חודשים,"1,604 ₪"
358,"109,999 ₪",פרדס חנה כרכור,סקודה פאביה FABIA AMBITION,2014,1197 ליטר בנזין,"175,000",1,אוטומטי,כחול פנינה,פרטית,5 חודשים,985 ₪
359,"99,900 ₪",חיפה,איסוזו D-Max PICK - UP S,2016,2499 ליטר דיזל,"270,000",3,אוטומטי,שנהב לבן,השכרה,0,"1,962 ₪"
360,"38,000 ₪",חיפה,רנו קאדג'ר KADJAR LIFE,2017,1461 ליטר דיזל,"170,000",1,אוטומטי,אפור כהה מטלי,פרטית,2 חודשים,"1,835 ₪"
361,"129,000 ₪",שפרעם,מזדה 2 MAZDA 2 DYNAMIC,2021,1496 ליטר בנזין,"5,000",1,אוטומטי,שחור,פרטית,10 חודשים,"1,529 ₪"
362,"79,000 ₪",שדרות,ב מ וו X1 SDRIVE 18I S,2017,1499 ליטר בנזין,"128,000",3,אוטומטי,שחור,פרטית,6 חודשים,"2,563 ₪"
363,"95,000 ₪",נתניה,קיה ספורטז' SPORTAGE URBAN,2016,1999 ליטר בנזין,"111,691",1,אוטומטי,בז,פרטית,6 חודשים,"1,584 ₪"
364,"119,900 ₪",רמת גן,סובארו XV XV 1.6 PREMIUM,2016,1600 ליטר בנזין,"144,000",1,אוטומטי,שנהב לבן,פרטית,10 חודשים,"1,424 ₪"
365,"90,900 ₪",חיפה,קיה סורנטו SORENTO EX,2023,2497 ליטר בנזין,0,1,אוטומטי,שנהב לבן,פרטית,11 חודשים,"3,366 ₪"
366,"67,500 ₪",חיפה,מיצובישי אאוטלנדר OUTLANDER INTENSE,2017,1998 ליטר בנזין,"150,000",3,אוטומטי,שנהב לבן,ליסינג,6 חודשים,"2,019 ₪"
367,"275,000 ₪",באר שבע,סיאט לאון LEON STYLE,2020,1498 ליטר בנזין,"70,000",1,אוטומטי,שנהב לבן,פרטית,11 חודשים,"1,604 ₪"
368,"102,000 ₪",ירכא,טויוטה קורולה COROLLA SUN,2013,1598 ליטר בנזין,"135,000",1,אוטומטי,כסף מטלי,ליסינג,8 חודשים,"1,424 ₪"
369,"124,500 ₪",ראשון לציון,DS 3 CROSSBACK GRAND CHIC,2020,1199 ליטר בנזין,"104,291",1,אוטומטי,טורקיז מטאלי,פרטית,5 חודשים,"2,417 ₪"
370,"57,000 ₪",רחובות,שברולט קרוז CRUZE LT TURBO,2014,1362 ליטר בנזין,"169,000",2,אוטומטי,שחור מטלי,ליסינג,6 חודשים,"1,424 ₪"
371,"118,900 ₪",רמת השרון,רנו ZOE ZOE INTENSE,2017,חשמלי,"37,000",1,אוטומטי,שנהב לבן,ליסינג,8 חודשים,"1,604 ₪"
372,"26,000 ₪",ראשון לציון,ב מ וו סדרה 3 316I LUXURY,2015,1598 ליטר בנזין,"139,000",2,אוטומטי,שנהב לבן,פרטית,3 חודשים,"1,962 ₪"
373,"43,000 ₪",אזור,קיה סטוניק STONIC PREMIUM,2020,998 ליטר בנזין,"25,000",1,אוטומטי,שנהב לבן,פרטית,0,"1,811 ₪"
374,"85,000 ₪",חולון,קיה ספורטז' SPORTAGE URBAN,2022,1999 ליטר בנזין,0,1,אוטומטי,שנהב לבן,פרטית,6 חודשים,"2,130 ₪"
375,"104,900 ₪",גדרה,סקודה אוקטביה OCTAVIA AMBITION,2016,1395 ליטר בנזין,"133,000",2,אוטומטי,קפה מטאלי,פרטית,3 חודשים,"1,424 ₪"
376,"180,000 ₪",נתניה,ג'יפ רנגלר WRANGLER RUBICON,2020,1995 ליטר בנזין,"20,000",2,אוטומטי,אפור,פרטית,0,"4,731 ₪"
377,"69,999 ₪",חיפה,יונדאי אקסנט ACCENT INSPIRE,2020,1591 ליטר בנזין,"77,349",1,אוטומטי,שחור,ליסינג,10 חודשים,"1,529 ₪"
378,"325,000 ₪",נוף הגליל,פיג'ו 3008 3008 ACTIVE,2019,1499 ליטר דיזל,"102,000",1,אוטומטי,לבן,פרטית,9 חודשים,"1,835 ₪"
379,"86,900 ₪",חדרה,טסלה MODEL 3 MODEL 3 LONG RANGE,2021,חשמלי,"25,000",1,אוטומטי,שחור,פרטית,4 חודשים,"3,366 ₪"
380,"111,900 ₪",חיפה,קאדילאק CTS CTS ELEGANCE,2012,3564 ליטר בנזין,"175,000",3,אוטומטי,ברונזה,פרטית,0,"1,726 ₪"
381,"215,000 ₪",חיפה,סיאט לאון LEON STYLE,2020,1498 ליטר בנזין,"25,000",1,אוטומטי,שנהב לבן,פרטית,5 חודשים,"1,811 ₪"
382,"58,000 ₪",נתניה,מזדה CX-5 CX-5 EXECUTIVE,2016,1998 ליטר בנזין,"115,000",2,אוטומטי,אדום,פרטית,5 חודשים,"1,693 ₪"
383,"108,000 ₪",ראשון לציון,יונדאי טוסון TUCSON PANORAMIC,2018,1999 ליטר בנזין,"56,000",1,אוטומטי,שחור,פרטית,2 חודשים,"1,835 ₪"
384,"83,900 ₪",ראשון לציון,סוזוקי איגניס IGNIS GLX,2019,1242 ליטר בנזין,"54,000",1,אוטומטי,אפור מטל,פרטית,11 חודשים,"1,102 ₪"
385,"128,000 ₪",ירושלים,פולקסווגן אטלס CR SPORT SE TEC RLINE,2021,3598 ליטר בנזין,"25,000",1,אוטומטי,אפור בהיר,פרטית,6 חודשים,"4,731 ₪"
386,"71,900 ₪",ראשון לציון,מרצדס E קלאס E220D TAXI EXSLUCI,2017,1950 ליטר דיזל,"295,000",3,אוטומטי,שנהב לבן,אחר,4 חודשים,"3,357 ₪"
387,"415,000 ₪",נתניה,פורד מונדאו MONDEO TREND,2012,1999 ליטר בנזין,"104,000",3,אוטומטי,שחור מטלי,פרטית,7 חודשים,"1,427 ₪"
388,"139,900 ₪",נתניה,סיאט איביזה IBIZA SPORT,2012,1197 ליטר בנזין,"170,000",4,ידני,צהוב,פרטית,1 חודשים,"1,074 ₪"
389,"25,000 ₪",פתח תקווה,מרצדס CLA קלאס CLA200 URBAN,2016,1595 ליטר בנזין,"167,000",4,אוטומטי,לבן,פרטית,0,"2,563 ₪"
390,"26,900 ₪",חיפה,מזדה 3 MAZDA 3 PREMIUM,2017,1998 ליטר בנזין,"110,000",2,אוטומטי,אפור,פרטית,5 חודשים,"1,604 ₪"
391,"127,000 ₪",חיפה,קיה פיקנטו PICANTO EX,2019,1248 ליטר בנזין,"45,584",1,אוטומטי,בז,פרטית,5 חודשים,"1,102 ₪"
392,"90,000 ₪",נתניה,רנו קאדג'ר KADJAR LIFE,2019,1461 ליטר דיזל,"80,000",1,אוטומטי,שנהב לבן,פרטית,0,"1,835 ₪"
393,"78,900 ₪",ראשון לציון,סיאט אטקה ATECA FR,2020,1498 ליטר בנזין,"90,960",1,אוטומטי,שן פיל,פרטית,0,"2,417 ₪"
394,"105,900 ₪",חיפה,טסלה MODEL 3 MODEL 3 RWD,2022,חשמלי,0,1,אוטומטי,לבן פנינה,ליסינג,9 חודשים,"3,366 ₪"
395,"132,900 ₪",פתח תקווה,מרצדס GLA קלאס GLA180 EXCLUSIVE NR,2023,1332 ליטר בנזין,0,1,אוטומטי,שחור,ליסינג,10 חודשים,"4,731 ₪"
396,"237,650 ₪",נתניה,סקודה אוקטביה OCTAVIA AMBITION,2020,1498 ליטר בנזין,"90,000",1,אוטומטי,כסף מטלי,ליסינג,0,"1,811 ₪"
397,"271,503 ₪",נתניה,קיה סטוניק STONIC LX,2021,998 ליטר בנזין,"32,000",2,אוטומטי,כסף,פרטית,11 חודשים,"1,529 ₪"
398,"115,000 ₪",עיספיא,יונדאי טוסון TUCSON PANORAMIC,2018,1999 ליטר בנזין,"44,000",2,אוטומטי,אפור,ליסינג,0,"1,835 ₪"
399,"100,000 ₪",כפר סבא,סקודה סופרב SUPERB STYLE,2019,1798 ליטר בנזין,"72,876",1,אוטומטי,קפה מטאלי,אחר,11 חודשים,"2,019 ₪"
400,"127,000 ₪",נתניה,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,"122,204",1,אוטומטי,כסף מטלי,ליסינג,8 חודשים,"1,604 ₪"
401,"155,500 ₪",מאיפה שנוח לך בארץ,מרצדס CLA קלאס CLA250 AMG PLUS,2016,1991 ליטר בנזין,"173,000",2,אוטומטי,שנהב לבן,פרטית,0,"3,357 ₪"
402,"105,900 ₪",חדרה,הונדה HR-V HR-V COMFORT,2016,1498 ליטר בנזין,"82,000",1,אוטומטי,אפור כהה מטלי,פרטית,5 חודשים,"1,424 ₪"
403,"143,900 ₪",נתניה,קיה פיקנטו PICANTO GT LINE,2021,1248 ליטר בנזין,"22,146",2,אוטומטי,כסוף כהה,פרטית,2 חודשים,0
404,"74,900 ₪",תל אביב יפו,קיה פיקנטו PICANTO EX,2018,1248 ליטר בנזין,"120,000",1,אוטומטי,לבן,פרטית,0,"1,102 ₪"
405,"83,900 ₪",חיפה,קופרה פורמנטור CUPRA BP/BB,2023,1984 ליטר בנזין,0,1,אוטומטי,שנהב לבן,פרטית,10 חודשים,"3,366 ₪"
406,"64,900 ₪",ראשון לציון,סיאט לאון LEON FR PLUS,2018,1798 ליטר בנזין,"40,000",2,אוטומטי,כסף,פרטית,0,"1,835 ₪"
407,"315,000 ₪",באר שבע,אופל קורסה CORSA ENJOY LS,2018,1398 ליטר בנזין,"90,000",2,אוטומטי,שחור מטלי,פרטית,3 חודשים,"1,353 ₪"
408,"126,000 ₪",נתניה,טויוטה קורולה COROLLA SUN,2009,1598 ליטר בנזין,"100,000",5,אוטומטי,תכלת מטאלי,ליסינג,3 חודשים,"1,074 ₪"
409,"49,000 ₪",חיפה,פיג'ו 3008 3008 ACTIVE,2018,1560 ליטר דיזל,"91,612",1,אוטומטי,לבן,פרטית,2 חודשים,"1,835 ₪"
410,"25,000 ₪",חדרה,יונדאי טוסון TUCSON PREMIUM,2016,1999 ליטר בנזין,"155,000",2,אוטומטי,שחור,ליסינג,6 חודשים,"1,584 ₪"
411,"97,900 ₪",חיפה,איסוזו D-Max PICK-UP S,2014,2499 ליטר דיזל,"146,000",1,ידני,כסף מטלי,אחר,0,"1,693 ₪"
412,"88,000 ₪",ירכא,הונדה ג'אז JAZZ TREND,2019,1318 ליטר בנזין,"149,125",1,אוטומטי,לבן,ליסינג,5 חודשים,"1,353 ₪"
413,"89,000 ₪",עפולה,הונדה CR-V CR-V COMFORT,2016,1997 ליטר בנזין,"70,000",1,אוטומטי,אפור בהיר מטלי,פרטית,1 חודשים,"1,693 ₪"
414,"63,900 ₪",חדרה,יונדאי איוניק HYBRID SUPREME,2017,1580 ליטר בנזין,"110,850",1,אוטומטי,כסף,פרטית,3 חודשים,"1,604 ₪"
415,"91,900 ₪",ראשון לציון,סקודה אוקטביה NEW OCTAVIA EXCLUSIVE,2017,999 ליטר בנזין,"127,000",3,אוטומטי,שחור מטלי,פרטית,4 חודשים,"1,604 ₪"
416,"93,900 ₪",פתח תקווה,קיה ספורטז' SPORTAGE URBAN,2020,1598 ליטר דיזל,"55,839",1,אוטומטי,שנהב לבן,פרטית,5 חודשים,0
417,"79,900 ₪",עפולה,ניסאן X TRAIL X-TRAIL ACENTA,2020,1749 ליטר דיזל,"19,000",1,אוטומטי,שחור מטלי,פרטית,0,"2,417 ₪"
418,"125,900 ₪",חיפה,סוזוקי אלטו ALTO GLX,2010,996 ליטר בנזין,"175,000",4,ידני,אפור מטל,פרטית,4 חודשים,880 ₪
419,"145,000 ₪",נתניה,סקודה סופרב SUPERB URIN KLEMENT,2019,1984 ליטר בנזין,"60,000",3,אוטומטי,שחור מטלי,פרטית,6 חודשים,"2,563 ₪"
420,"29,999 ₪",חיפה,סקודה סופרב SUPERB B LK PREMIUM,2021,1395 ליטר חשמל/בנזין,"38,000",1,אוטומטי,שחור פנינה,פרטית,8 חודשים,"3,366 ₪"
421,"209,900 ₪",הרצליה,ניסאן קשקאי QASHQAI ACENTA SV,2015,1197 ליטר בנזין,"115,761",2,אוטומטי,שנהב לבן,פרטית,0,"1,693 ₪"
422,"275,000 ₪",עפולה,קיה פיקנטו PICANTO EX,2020,1248 ליטר בנזין,"30,000",1,אוטומטי,שנהב לבן,פרטית,4 חודשים,"1,235 ₪"
423,"68,900 ₪",ראשון לציון,סקודה קודיאק KODIAQ AMBITION,2019,1498 ליטר בנזין,"186,380",1,אוטומטי,כסף מטלי,ליסינג,9 חודשים,"2,019 ₪"
424,"79,900 ₪",ראשון לציון,קיה פיקנטו PICANTO LX,2014,1248 ליטר בנזין,"131,000",2,אוטומטי,כסף,פרטית,0,985 ₪
425,"120,900 ₪",חדרה,ב מ וו סדרה 7 740E iPERFORMANCE LUXURY,2017,1998 ליטר חשמל/בנזין,"160,000",2,אוטומטי,אפור,פרטית,0,"3,357 ₪"
426,"39,900 ₪",חיפה,מיצובישי אאוטלנדר OUTLANDER INSTYLE,2021,1998 ליטר בנזין,"64,457",2,אוטומטי,שנהב לבן,פרטית,12 חודשים,"2,417 ₪"
427,"258,000 ₪",עפולה,טויוטה לנד קרוזר LAND CRUISER SELECT,2010,2982 ליטר דיזל,"190,000",3,אוטומטי,שנהב לבן,פרטית,1 חודשים,"1,726 ₪"
428,"144,900 ₪",חיפה,יונדאי IX35 IX35 OPEN SKY,2015,1999 ליטר בנזין,"135,000",3,אוטומטי,כסוף בהיר,פרטית,2 חודשים,"1,693 ₪"
429,"169,000 ₪",חיפה,יונדאי איוניק HYBRID PREMIUM,2017,1580 ליטר בנזין,"112,000",2,אוטומטי,אפור,אחר,0,"1,604 ₪"
430,"77,900 ₪",רמת גן,טויוטה קורולה COROLLA SUN,2014,1598 ליטר בנזין,"160,000",4,אוטומטי,שנהב לבן,ליסינג,3 חודשים,"1,424 ₪"
431,"86,900 ₪",עפולה,יונדאי איוניק HYBRID PREMIUM,2017,1580 ליטר בנזין,"102,461",1,אוטומטי,כסוף מטאלי,פרטית,6 חודשים,"1,604 ₪"
432,"55,000 ₪",ירושלים,שברולט טרוורס TRAVERSE LT,2015,3564 ליטר בנזין,"84,000",3,אוטומטי,לבן,פרטית,0,"1,962 ₪"
433,"94,900 ₪",חיפה,קיה פיקנטו PICANTO EX,2018,1248 ליטר בנזין,"29,000",1,אוטומטי,כסוף כהה,פרטית,8 חודשים,"1,102 ₪"
